,study_id,site_id,yield,yield_treatments_pollen_supplement,fruits_per_plant,seeds_per_fruit,observed_pollinator_richness,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others
1993,Marcos_Minarro_Malus_domestica_Spain_2015,Qui15,31.6666666666667,56.6666666666667,880.2,6.67592592592593,12.0,80.0,46.0,6.0,3.0,15.0,0.0,7.0,1.0,2.0,0.0,0.0,1.93295077016007,1.11144669284204,0.144971307762005,0.0724856538810027,0.362428269405014,0.0,0.169133192389006,0.0241618846270009,0.0483237692540018,0.0,0.0
1994,Marcos_Minarro_Malus_domestica_Spain_2015,Lav16,8.33333333333333,30.0,2035.1,6.66666666666667,11.0,59.0,23.0,4.0,6.0,17.0,0.0,8.0,1.0,0.0,0.0,0.0,2.49076517150396,0.970976253298153,0.168865435356201,0.253298153034301,0.717678100263852,0.0,0.337730870712401,0.0422163588390501,0.0,0.0,0.0
1995,Marcos_Minarro_Malus_domestica_Spain_2015,Cal17,23.3333333333333,56.6666666666667,599.5,7.3,8.0,74.0,59.0,0.0,2.0,9.0,0.0,2.0,1.0,1.0,0.0,0.0,2.55834053586863,2.03975799481417,0.0,0.0691443388072602,0.311149524632671,0.0,0.0691443388072602,0.0345721694036301,0.0345721694036301,0.0,0.0
1996,Marcos_Minarro_Malus_domestica_Spain_2015,San18,70.0,85.0,884.7,7.14206349206349,8.0,81.0,58.0,1.0,2.0,9.0,0.0,8.0,0.0,3.0,0.0,0.0,2.0,1.4320987654321,0.0246913580246914,0.0493827160493827,0.222222222222222,0.0,0.197530864197531,0.0,0.0740740740740741,0.0,0.0
1997,Marcos_Minarro_Malus_domestica_Spain_2015,Que19,15.0,50.0,758.9,6.375,12.0,106.0,84.0,2.0,4.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,2.73724983860555,2.16914138153648,0.0516462233699161,0.103292446739832,0.309877340219496,0.0,0.0516462233699161,0.0516462233699161,0.0,0.0,0.0
1998,Marcos_Minarro_Malus_domestica_Spain_2015,Sal20,13.3333333333333,30.0,316.7,5.13333333333333,14.0,98.001,48.0,15.0,6.001,20.0,0.0,6.0,0.0,1.0,2.0,0.0,2.67032697547684,1.30790190735695,0.408719346049046,0.163514986376022,0.544959128065395,0.0,0.163487738419619,0.0,0.0272479564032698,0.0544959128065395,0.0
1999,Marcos_Minarro_Malus_domestica_Spain_2015,Pan21,65.0,65.0,800.3,7.79839743589744,11.0,85.0,50.0,4.0,5.0,14.0,0.0,9.0,3.0,0.0,0.0,0.0,3.41536916122551,2.00904068307383,0.160723254645907,0.200904068307383,0.562531391260673,0.0,0.36162732295329,0.12054244098443,0.0,0.0,0.0
2000,Marcos_Minarro_Malus_domestica_Spain_2015,Nor22,15.0,21.6666666666667,473.5,6.22222222222222,15.0,90.0,43.0,4.0,9.0,22.0,0.0,8.0,1.0,2.0,0.0,1.0,3.31034482758621,1.5816091954023,0.147126436781609,0.331034482758621,0.809195402298851,0.0,0.294252873563218,0.0367816091954023,0.0735632183908046,0.0,0.0367816091954023
2001,Marcos_Minarro_Malus_domestica_Spain_2015,Obi23,10.0,28.3333333333333,649.6,8.2,8.0,96.0,57.0,14.0,11.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,3.29472329472329,1.95624195624196,0.48048048048048,0.377520377520378,0.24024024024024,0.0,0.24024024024024,0.0,0.0,0.0,0.0
2002,Marcos_Minarro_Malus_domestica_Spain_2015,Mun24,26.6666666666667,45.0,550.2,4.94444444444444,6.0,74.0,66.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.73441108545035,2.43879907621247,0.0739030023094688,0.0739030023094688,0.0,0.0,0.147806004618938,0.0,0.0,0.0,0.0
