,study_id,site_id,yield,yield_units,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others
132,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonBlai,146.1371826,fruits per plant,visits per 100 flowers and hour,1.125253808,1.073374062,0.025045395,0.001788957,0.001788957,0,0.016100611,0,0.001788957,0.00536687,
133,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonCos,156.3769941,fruits per plant,visits per 100 flowers and hour,0.401792613,0.381187864,0,0.001981226,0.001584981,0,0.003169961,0.007924904,0.005151187,0.00079249,
134,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonMarrano,102.7139963,fruits per plant,visits per 100 flowers and hour,0.459188575,0.425245765,0.003202152,0.023055493,0.005763873,0,0.001921291,0,0,0,
135,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonPinya,201.0363247,fruits per plant,visits per 100 flowers and hour,1.723656742,1.495919712,0.004465432,0.093774071,0.017861728,0,0.017861728,0,0.04465432,0.040188888,
136,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonPou,450.6847645,fruits per plant,visits per 100 flowers and hour,1.322063998,1.299042984,0.012332687,0.000822179,0.001644358,0,0.007399612,0,0,0.000822179,
137,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonPujol,774.7568514,fruits per plant,visits per 100 flowers and hour,0.732253907,0.665734138,0,0.002682249,0.007510296,0,0.001609349,0,0.054717874,0,
138,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonVives,125.5535622,fruits per plant,visits per 100 flowers and hour,1.030353662,0.906780841,0.003480925,0.01566416,0.01566416,0,0.017404623,0.001740462,0.03829017,0.031328321,
139,Amparo_Lazaro_Prunus_dulcis_Spain_2015,Xorrigo,327.1292893,fruits per plant,visits per 100 flowers and hour,0.909446161,0.814238516,0.003552524,0,0.013499591,0.000710505,0.044051298,0.007105048,0.017052116,0.009236563,
140,Amparo_Lazaro_Prunus_dulcis_Spain_2016,CanBeia,213.4840046,fruits per plant,visits per 100 flowers and hour,1.547453568,1.111234801,0.387750016,0.001182165,0.016550306,0,0.010639482,0,0.0200968,0,
141,Amparo_Lazaro_Prunus_dulcis_Spain_2016,Cooperativa,337.3359343,fruits per plant,visits per 100 flowers and hour,1.119319149,0.969531915,0,0.016340426,0,0,0.009531915,0,0.123914894,0,
142,Amparo_Lazaro_Prunus_dulcis_Spain_2016,EsRafal,120.5002397,fruits per plant,visits per 100 flowers and hour,0.4438305,0.424644744,0,0.00127905,0,0,0.017906706,0,0,0,
144,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SaCanova,301.9795566,fruits per plant,visits per 100 flowers and hour,0.909898865,0.858459859,0,0.020575602,0.012573979,0,0.004572356,0,0.009144712,0.004572356,
145,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SaFillola,184.790481,fruits per plant,visits per 100 flowers and hour,0.443991254,0.357304601,0,0.070571826,0.001111367,0,0.007779571,0,0.005556837,0.001667051,
146,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SaMarineta,20.84715184,fruits per plant,visits per 100 flowers and hour,3.711790393,3.580786026,0,0,0.065502183,0,0.065502183,0,0,0,
147,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SesCabanasses,210.3043107,fruits per plant,visits per 100 flowers and hour,0.815560027,0.743125419,0.018779343,0.033534541,0.001341382,0,0.009389671,0.001341382,0.006706908,0.001341382,
148,Amparo_Lazaro_Prunus_dulcis_Spain_2016,Shospitalet,100.8650192,fruits per plant,visits per 100 flowers and hour,0.512082469,0.470245666,0,0.000836736,0.018408193,0,0.011714305,0,0.010877569,0,
149,Amparo_Lazaro_Prunus_dulcis_Spain_2016,Sindioteria,328.2451426,fruits per plant,visits per 100 flowers and hour,1.023466628,0.910997767,0,0.087725711,0.002249377,0,0.002249377,0.002249377,0.017995018,0,
150,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonCos,47.33746355,fruits per plant,visits per 100 flowers and hour,1.062409688,0.970664465,0.003669809,0.058716943,0.003669809,0,0.011009427,0.007339618,0.007339618,0,
151,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonMarrano,53.5548507,fruits per plant,visits per 100 flowers and hour,1.20099949,1.152637094,0,0.034256697,0,0,0.014105699,0,0,0,
152,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonPinya,98.84837132,fruits per plant,visits per 100 flowers and hour,1.64503747,0.987022482,0,0.58060146,0.038706764,0,0.038706764,0,0,0,
153,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonPou,470.2820831,fruits per plant,visits per 100 flowers and hour,0.661712639,0.634853455,0.01220872,0,0,0,0.007325232,0,0.007325232,0,
154,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonPujol,407.3134336,fruits per plant,visits per 100 flowers and hour,1.130503108,1.128082331,0.001210389,0,0,0,0,0,0.001210389,0,
155,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonVives,66.52979566,fruits per plant,visits per 100 flowers and hour,0.674864015,0.542590668,0.048590209,0.005398912,0.043191297,0,0.032393473,0,0.002699456,0,
156,Amparo_Lazaro_Prunus_dulcis_Spain_2016,Xorrigo,185.437278,fruits per plant,visits per 100 flowers and hour,0.620307295,0.556909154,0,0.036049923,0.004972403,0,0.009944806,0.002486202,0.001243101,0.008701706,
1144,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_1_0,28.4,number of fruits,visits per flower,0.005576208,0.005576208,0,0,0,,0,,,0,
1145,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_1_10,29.4,number of fruits,visits per flower,0.002762431,0.002762431,0,0,0,,0,,,0,
1146,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_1_30,18.6,number of fruits,visits per flower,0,0,0,0,0,,0,,,0,
1147,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_1_40,19.6,number of fruits,visits per flower,0,0,0,0,0,,0,,,0,
1148,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_1_60,32.4,number of fruits,visits per flower,0.005617978,0.005617978,0,0,0,,0,,,0,
1149,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_2_0,0.8,number of fruits,visits per flower,0.013559322,0.013559322,0,0,0,,0,,,0,
1150,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_2_10,31.2,number of fruits,visits per flower,0.010344828,0.010344828,0,0,0,,0,,,0,
1151,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_2_30,43.2,number of fruits,visits per flower,0,0,0,0,0,,0,,,0,
1152,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_2_40,36.8,number of fruits,visits per flower,0.005825243,0.005825243,0,0,0,,0,,,0,
1153,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_2_60,35,number of fruits,visits per flower,0.004032258,0.004032258,0,0,0,,0,,,0,
1154,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_3_0,43.4,number of fruits,visits per flower,0.003177966,0.003177966,0,0,0,,0,,,0,
1155,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_3_10,49.6,number of fruits,visits per flower,0.003515625,0.003515625,0,0,0,,0,,,0,
1156,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_3_30,38,number of fruits,visits per flower,0.003883495,0.003398058,0,0,0,,0,,,0.000485437,
1157,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_3_40,49.4,number of fruits,visits per flower,0.000803859,0.000803859,0,0,0,,0,,,0,
1158,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_3_60,59.4,number of fruits,visits per flower,0.001234568,0.001234568,0,0,0,,0,,,0,
1159,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_4_0,29.4,number of fruits,visits per flower,0.002469136,0.002469136,0,0,0,,0,,,0,
1160,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_4_10,45.4,number of fruits,visits per flower,0.007633588,0.007633588,0,0,0,,0,,,0,
1161,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_4_30,23.2,number of fruits,visits per flower,0.009615385,0.004807692,0,0,0,,0,,,0.004807692,
1162,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_4_40,32.4,number of fruits,visits per flower,0.003731343,0.003731343,0,0,0,,0,,,0,
1163,James_Reilly_Prunus_dulcis_USA_2013,almond_ca_4_60,22,number of fruits,visits per flower,0.005376344,0.005376344,0,0,0,,0,,,0,
1164,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_5_0,33.4,number of fruits,visits per flower,0.034482759,0.032327586,0,0,0,,0,,,0.002155172,
1165,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_5_10,21.2,number of fruits,visits per flower,0.028397566,0.028397566,0,0,0,,0,,,0,
1166,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_5_30,35,number of fruits,visits per flower,0.019332162,0.019332162,0,0,0,,0,,,0,
1167,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_5_40,36.6,number of fruits,visits per flower,0.019386107,0.017770598,0,0,0.001615509,,0,,,0,
1168,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_5_60,26.8,number of fruits,visits per flower,0.032051282,0.032051282,0,0,0,,0,,,0,
1169,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_1_0,52.6,number of fruits,visits per flower,0.002436054,0.001218027,0,0,0,,0.001218027,,,0,
1170,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_1_10,54.8,number of fruits,visits per flower,0.006165228,0.006165228,0,0,0,,0,,,0,
1171,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_1_30,47,number of fruits,visits per flower,0.003649635,0.003649635,0,0,0,,0,,,0,
1172,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_1_40,44.8,number of fruits,visits per flower,0.002985075,0.002985075,0,0,0,,0,,,0,
1173,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_1_60,45,number of fruits,visits per flower,0.008196721,0.008196721,0,0,0,,0,,,0,
1174,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_7_0,66.8,number of fruits,visits per flower,0.005813953,0.005813953,0,0,0,,0,,,0,
1175,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_7_10,91.8,number of fruits,visits per flower,0.003759398,0.003759398,0,0,0,,0,,,0,
1176,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_7_30,59.2,number of fruits,visits per flower,0.005376344,0.005376344,0,0,0,,0,,,0,
1177,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_7_40,38.8,number of fruits,visits per flower,0.001355014,0.001355014,0,0,0,,0,,,0,
1178,James_Reilly_Prunus_dulcis_USA_2014,almond_ca_7_60,49.2,number of fruits,visits per flower,0.001545595,0.001545595,0,0,0,,0,,,0,
