,study_id,site_id,yield,yield_units,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others
67,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Abele,32.3397372,fruit set (%),visits per 100 flowers and hour,4771.206036,4741.56828,0,0,0,0,29.637756,0,0,0,0
68,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Banes,36.4490314,fruit set (%),visits per 100 flowers and hour,4310.5734,4058.45208,0,0,252.12132,0,0,0,0,0,0
69,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Barth,41.6451415,fruit set (%),visits per 100 flowers and hour,7574.67756,7574.67756,0,0,0,0,0,0,0,0,0
70,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Bramlett,41.9620641,fruit set (%),visits per 100 flowers and hour,4422.774816,1258.1442,188.407404,1451.881692,497.6514,593.70408,319.85316,0,46.79388,0,66.339
71,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Cotters,29.8422402,fruit set (%),visits per 100 flowers and hour,3710.893932,3244.50288,0,74.68884,139.43664,37.34424,65.543652,0,0,149.37768,0
72,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Etters,39.7037081,fruit set (%),visits per 100 flowers and hour,3110.36328,234.7758,189.69552,848.12796,244.36764,98.72028,63.23184,0,0,1332.72396,98.72028
73,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Fullbelly,51.1595005,fruit set (%),visits per 100 flowers and hour,2397.931704,372.92292,203.51772,204.895152,867.802716,125.290116,362.5344,0,147.44412,0,113.52456
74,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,KB 1,19.2319726,fruit set (%),visits per 100 flowers and hour,3729.10104,3403.91376,0,0,86.24916,0,238.93812,0,0,0,0
75,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,KB 2,27.2188139,fruit set (%),visits per 100 flowers and hour,1762.71192,1338.73308,0,0,386.53092,0,37.44792,0,0,0,0
76,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Lauwerijssen,39.8974355,fruit set (%),visits per 100 flowers and hour,4411.3986,2965.08384,0,0,54.27144,0,189.38124,0,0,1202.66208,0
77,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Lowrey,44.8328218,fruit set (%),visits per 100 flowers and hour,10451.77272,2120.60124,0,4251.7548,1980.45792,293.47812,607.63104,114.89364,229.78728,853.16868,0
78,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Miller,32.5663716,fruit set (%),visits per 100 flowers and hour,1393.5942,1393.5942,0,0,0,0,0,0,0,0,0
79,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Nickels,36.8979961,fruit set (%),visits per 100 flowers and hour,1238.68332,1152.14472,0,0,86.5386,0,0,0,0,0,0
80,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Peart,49.8737004,fruit set (%),visits per 100 flowers and hour,4032.091188,2862.56844,0,0,169.2792,0,372.89592,0,0,591.63336,35.714268
81,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Scheuring,22.344795,fruit set (%),visits per 100 flowers and hour,1670.169816,1469.60604,0,0,0,0,100.281888,0,0,0,100.281888
82,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Scofield 1,38.973226,fruit set (%),visits per 100 flowers and hour,7398.50256,6419.15388,0,219.72528,457.66152,0,210.7458,0,0,0,91.21608
83,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Scofield 2,50.2608617,fruit set (%),visits per 100 flowers and hour,2987.237592,2020.7106,69.14196,170.398008,498.744972,32.766984,175.810104,19.664964,0,0,0
84,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,Taber,64.7015985,fruit set (%),visits per 100 flowers and hour,6169.03416,2889.97992,303.37524,763.99524,1763.90388,118.59444,43.974,0,0,285.21144,0
85,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,TMueller 1,74.8094498,fruit set (%),visits per 100 flowers and hour,3134.576088,944.14752,292.098888,390.273552,1192.86828,0,224.84664,0,0,0,90.341208
86,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,TMueller 2,55.7277131,fruit set (%),visits per 100 flowers and hour,1750.666176,836.7012,187.41564,397.186524,302.25438,27.108432,0,0,0,0,0
87,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,TNP 1,29.0864549,fruit set (%),visits per 100 flowers and hour,3931.46064,2848.15404,0,252.73044,78.50988,42.1218,162.75312,0,0,547.19136,0
88,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,TNP 2,26.9170229,fruit set (%),visits per 100 flowers and hour,1782.51516,1782.51516,0,0,0,0,0,0,0,0,0
89,Alexandra_Maria_Klein_Prunus_dulcis_USA_2008,TNP 3,31.7599396,fruit set (%),visits per 100 flowers and hour,4891.500036,2757.97404,135.24552,1615.289076,305.72172,0,33.00732,44.26236,0,0,0
122,Amparo_Lazaro_Prunus_dulcis_Spain_2015,CanBeia,58.51026051,fruits per plant,visits per 100 flowers and hour,5.452706802,3.535360345,1.763635138,0.088990764,0.048540417,0,0.008090069,0,0.008090069,0,
123,Amparo_Lazaro_Prunus_dulcis_Spain_2015,Cooperativa,375.2398688,fruits per plant,visits per 100 flowers and hour,1.324977619,1.286412781,0.024791681,0,0.005509262,0,0.008263894,0,0,0,
124,Amparo_Lazaro_Prunus_dulcis_Spain_2015,EsRafal,79.91303671,fruits per plant,visits per 100 flowers and hour,0.341564453,0.313538652,0,0.003503225,0.005254838,0,0.015764513,0,0.003503225,0,
125,Amparo_Lazaro_Prunus_dulcis_Spain_2015,FestivalPark,253.81942,fruits per plant,visits per 100 flowers and hour,0.575768461,0.56191307,0,0.003078976,0.003078976,0,0.006157951,0.001539488,0,0,
126,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SaCanova,143.5916137,fruits per plant,visits per 100 flowers and hour,0.497626511,0.437438424,0.005373936,0.018271384,0.002149575,0,0.007523511,0.001074787,0.021495746,0.004299149,
127,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SaFillola,224.4799526,fruits per plant,visits per 100 flowers and hour,0.290108984,0.275680829,0.000515291,0.010821117,0.001545874,0,0.001545874,0,0,0,
128,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SaMarineta,48.07719748,fruits per plant,visits per 100 flowers and hour,9.083665339,8.936561447,0.073551946,0,0.036775973,0,0.036775973,0,0,0,
129,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SesCabanasses,35.31913743,fruits per plant,visits per 100 flowers and hour,1.596196173,1.512417921,0.028660981,0.044093817,0,0,0.006614073,0,0,0,
130,Amparo_Lazaro_Prunus_dulcis_Spain_2015,Shospitalet,80.01773183,fruits per plant,visits per 100 flowers and hour,0.734774002,0.598785978,0.002193355,0.091024242,0.00438671,0,0.007676743,0,0.030706973,0,
131,Amparo_Lazaro_Prunus_dulcis_Spain_2015,Sindioteria,491.452158,fruits per plant,visits per 100 flowers and hour,0.346852658,0.326378717,0.008430447,0.003613049,0,0,0.004817398,0,0,0.003613049,
